Pitcher,PitchType,#,# RHB,# LHB,%,MPH,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Spin,Whiff %,Put Away %
Andrew Tay,Slider,11,9,2,9.6,80.19,1,0,1,0,0,1,1,0.5,0.333,1.0,0.812,0.047,0.447,95.32,28.2,1942.0,0.0,33.33
Andrew Tay,Fastball,94,70,19,81.7,87.01,5,4,1,0,0,5,13,0.263,0.221,0.316,0.265,0.283,0.304,79.17,21.12,1960.0,13.83,23.81
Andrew Tay,Changeup,7,2,4,6.1,81.94,1,0,0,0,1,1,2,0.333,0.25,1.333,0.521,0.077,0.351,87.43,15.4,1482.0,0.0,33.33
Andrew Tay,Curveball,1,1,0,0.9,70.76,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,2567.0,0.0,NaN
Andrew Tay,Cutter,2,2,0,1.7,81.33,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1907.0,0.0,0.0
Canden Hardman,Fastball,121,85,31,53.5,77.59,11,8,3,0,0,4,27,0.355,0.341,0.452,0.426,0.237,0.355,82.46,18.88,1786.0,9.09,15.38
Canden Hardman,Slider,57,50,7,25.2,68.96,5,5,0,0,0,3,11,0.357,0.325,0.357,0.35,0.089,0.291,77.96,8.51,1781.0,3.51,15.79
Canden Hardman,Changeup,31,19,12,13.7,72.16,1,0,1,0,0,3,4,0.143,0.1,0.286,0.125,0.022,0.121,74.66,9.96,1376.0,16.13,33.33
Canden Hardman,Cutter,10,10,0,4.4,69.05,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1759.0,20.0,0.0
Canden Hardman,Curveball,7,7,0,3.1,69.01,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,,,2183.0,28.57,66.67
Donte Frantz,Curveball,51,36,14,28.2,73.49,1,1,0,0,0,5,3,0.125,0.131,0.125,0.188,0.058,0.268,74.95,11.31,2487.0,5.88,31.25
Donte Frantz,Fastball,124,72,44,68.5,81.77,4,3,1,0,0,6,19,0.154,0.22,0.192,0.301,0.168,0.438,71.46,26.13,1881.0,13.71,20.0
Donte Frantz,Changeup,4,1,3,2.2,76.29,0,0,0,0,0,0,0,0.0,,0.0,,0.0,,,,1516.0,0.0,0.0
