,y_test,y_pred
3795,0.46,-0.5168834
9014,-0.33,0.53140193
8303,0.46,0.19010061
4799,0.46,-0.09288693
12783,0.46,0.49467877
12982,-0.33,-0.3838157
12184,0.79,-0.4869493
4678,-0.33,0.14205724
2925,0.79,-0.075115725
1812,0.31,-0.14565691
335,-0.33,-0.6647933
6229,0.79,0.45770738
8201,-0.33,-0.7220507
7891,-0.33,0.31402558
8140,-0.33,-0.24854667
5437,-0.33,0.5542277
11748,0.31,-0.4843116
4764,-0.33,-0.42591593
11791,-0.33,-0.510479
2578,-0.33,-0.13853765
4075,-0.33,-0.17365009
5520,-0.33,0.3782266
5865,1.41,-0.7587803
12964,0.31,-0.058812387
7093,0.46,-0.73215544
3896,-0.33,-0.098946705
3889,0.46,-0.011267786
12891,-0.33,0.06509429
7443,-0.33,0.11000967
1252,-0.33,0.35511136
10865,0.46,0.5669457
10150,0.0,0.09443151
3881,-0.33,0.0664816
4528,0.31,0.29220054
7730,-0.33,-0.4502211
2321,0.46,0.022670686
3486,0.79,-0.20463984
9578,-0.33,-0.10460621
2487,-0.33,-0.16975388
10321,-0.33,0.2535725
3360,-0.33,-0.040654402
10512,0.79,-0.26875168
13645,-0.33,-0.21468857
12413,-0.33,-0.77457756
1886,-0.33,-0.62474656
2141,-0.33,-0.04331904
380,-0.33,-0.19274107
8847,-0.33,0.16925767
2704,0.79,0.07276886
2197,0.46,0.6090211
7953,-0.33,-0.0931289
4627,-0.33,-0.1387117
7614,-0.33,0.87711
2721,-0.33,0.5414512
5393,0.46,0.81285447
7232,-0.33,-0.024841554
11187,-0.33,-0.018147793
11128,0.46,0.136363
2615,-0.33,-0.0005269808
5835,0.46,0.19044273
8057,0.31,-0.49049228
9346,-0.33,-0.46461636
2035,0.46,-0.4261509
8941,0.79,0.112772025
6642,-0.33,0.2326683
11656,-0.33,-0.309841
5876,0.46,0.36382526
1876,-0.33,0.16374701
8052,-0.33,0.15978974
8537,0.46,-0.21225522
7236,0.79,0.07806024
3627,0.31,-0.39363816
12077,0.31,-0.096896574
813,1.07,0.38549694
294,1.07,-0.87074715
2547,-0.33,0.29016227
2233,0.79,0.17777136
8019,-0.33,-0.2862433
257,-0.33,0.090892844
12994,-0.33,0.12714177
13154,-0.33,0.09120859
3637,-0.33,-0.0889864
10350,-0.33,-0.50615287
255,0.46,0.024013683
2979,-0.33,-0.28008553
5384,-0.33,0.28396195
8309,-0.33,-0.006275763
10316,0.31,0.9952765
12489,-0.33,0.1509822
2622,-0.33,-0.30700245
9250,0.31,-0.08185602
11623,0.31,-0.3049287
10791,0.31,-0.07310486
5954,-0.33,-0.23115921
170,-0.33,-0.4043713
8451,0.46,-0.37305722
1028,-0.33,0.26321656
12896,0.31,0.028689887
1244,0.46,0.43889034
9913,-0.33,-0.26738796
5770,-0.33,-0.09631701
8173,-0.33,0.6305982
11727,0.31,0.41462028
12929,0.31,0.36400428
9852,0.46,0.6946001
1555,-0.33,0.3209875
7720,0.46,0.33439365
7986,0.46,0.056970194
8211,-0.33,-0.4010097
10701,-0.33,-0.26771727
9610,0.46,0.2804769
8551,0.79,-0.013695088
12294,-0.33,-0.32373178
8592,-0.33,0.17999569
7171,0.0,-0.54426056
11962,0.46,0.26110986
6980,-0.33,-0.037282433
1335,0.0,0.0021807754
11238,-0.33,-0.28538382
3908,0.79,-0.17876253
1105,0.46,-0.60841316
10140,-0.33,0.5126481
4051,0.79,0.1152131
2431,-0.33,-0.053000443
5408,-0.33,0.016716791
11604,-0.33,0.2863879
6283,1.41,-0.0021665709
6582,0.31,0.41784808
