"","Player","OAA","playerPosition","innings","inRightOAA","inLeftOAA","backRightOAA","backLeftOAA","inTotal","backTotal","leftTotal","rightTotal"
"194","Owen Laroe",-0.24,"CF",22,0.16,-0.6,-0.09,0.29,-0.44,0.2,-0.31,0.07
"195","Owen Laroe",0.1,"LF",6,0,0.1,0,0,0.1,0,0.1,0
"196","Owen Laroe",0.14,"RF",12,-0.18,-0.01,0,0.33,-0.19,0.33,0.32,-0.18
"197","Owen Shissler",-0.18,"CF",6,-0.02,-0.14,0,-0.02,-0.16,-0.02,-0.16,-0.02
"198","Owen Shissler",0.96,"LF",13,0.22,0.4,0.34,0,0.62,0.34,0.4,0.56
"199","Owen Shissler",-0.77,"RF",6,-0.07,0,0,-0.69,-0.07,-0.69,-0.69,-0.07
"200","Riley Hendren",-1.81,"CF",64,-0.79,-1.68,0.02,0.65,-2.47,0.67,-1.03,-0.77
"201","Ryan Theile",0,NA,41,0,0,0,0,0,0,0,0
"202","Sam Mitre",0.95,"1B",17,0,0,0.98,-0.03,0,0.95,-0.03,0.98
"203","Sammy Descarpentrie",-0.01,"1B",7,0,-0.01,0,0,-0.01,0,-0.01,0
"204","Sammy Descarpentrie",0,NA,10,0,0,0,0,0,0,0,0
"205","Sammy Driscoll",0.25,"1B",6,0.31,0,-0.06,0,0.31,-0.06,0,0.25
"206","Sammy Driscoll",0.82,"CF",30,1.14,0.36,-0.56,-0.11,1.5,-0.67,0.25,0.58
"207","Sammy Driscoll",1.23,"RF",25,0.69,0.05,0,0.49,0.74,0.49,0.54,0.69
"208","Taylor Vorhees",-0.12,"1B",11,0,0,-0.12,0,0,-0.12,0,-0.12
"209","Taylor Vorhees",-0.24,"2B",17,-0.18,0,-0.06,0,-0.18,-0.06,0,-0.24
"210","Taylor Vorhees",0,"SS",40,-0.06,-0.11,0.21,-0.03,-0.17,0.18,-0.14,0.15
"211","Thomas Mickels",-1.29,"CF",15,-0.72,-0.57,0,0,-1.29,0,-0.57,-0.72
"212","Trey Blanchette",-1.27,"1B",63,-0.02,-0.02,-0.86,-0.38,-0.04,-1.24,-0.4,-0.88
"213","Trey Blanchette",-0.71,"LF",6,-0.39,-0.32,0,0,-0.71,0,-0.32,-0.39
"214","Trey Schilling",-0.81,"2B",5,-0.23,-0.34,0,-0.23,-0.57,-0.23,-0.57,-0.23
"215","Trey Schilling",0.28,"3B",59,0,-0.35,-0.06,0.69,-0.35,0.63,0.34,-0.06
"216","Trey Thompson",0.7,"CF",20,-0.04,0.33,0.41,0,0.29,0.41,0.33,0.37
"217","Trey Thompson",-0.52,"LF",6,-0.31,0,-0.21,0,-0.31,-0.21,0,-0.52
"218","Trey Thompson",-0.32,"RF",5,0,-0.17,0,-0.15,-0.17,-0.15,-0.32,0
"219","Ty Cribbett",0.39,"2B",6,0.52,0,0,-0.13,0.52,-0.13,-0.13,0.52
"220","Ty Cribbett",-0.27,"3B",53,-0.04,-0.21,0.07,-0.1,-0.25,-0.03,-0.31,0.03
"221","Tyler Pippin",-0.08,"1B",16,0,0,-0.08,0,0,-0.08,0,-0.08
"222","Tyler Pippin",1.17,"2B",35,-0.09,1.36,-0.08,-0.02,1.27,-0.1,1.34,-0.17
"223","Tyler Pippin",-0.15,"3B",23,-0.01,-0.01,0,-0.12,-0.02,-0.12,-0.13,-0.01
"224","Will Strehl",-0.48,"2B",14,-0.29,0,0,-0.19,-0.29,-0.19,-0.19,-0.29
"225","Will Strehl",0.77,"3B",7,-0.03,0,0,0.81,-0.03,0.81,0.81,-0.03
"226","Will Strehl",-0.11,"SS",5,0,0,-0.07,-0.04,0,-0.11,-0.04,-0.07
"227","Will Strehl",0,NA,3,0,0,0,0,0,0,0,0
"228","Will Vogel",0.08,"2B",12,0,-0.02,-0.06,0.17,-0.02,0.11,0.15,-0.06
"229","Will Vogel",0,"3B",10,0,0,0,0,0,0,0,0
"230","Will Vogel",0.26,"SS",6,0,-0.03,-0.01,0.31,-0.03,0.3,0.28,-0.01
"231","Will Vogel",0,NA,38,0,0,0,0,0,0,0,0
"232","Zach Bava",0,NA,17,0,0,0,0,0,0,0,0
"233","Zach Pomatto",0,"2B",1,0,0,0,0,0,0,0,0
"234","Zach Pomatto",0,"3B",3,0,0,0,0,0,0,0,0
"235","Zach Pomatto",-0.36,"RF",5,0,-0.14,0,-0.22,-0.14,-0.22,-0.36,0
"236","Zach Pomatto",0,NA,36,0,0,0,0,0,0,0,0
"237","Zach Spidle",0.02,"CF",6,0.11,-0.09,0,0,0.02,0,-0.09,0.11
"238","Zach Spidle",1.49,"LF",44,-0.98,1.86,0.61,0,0.88,0.61,1.86,-0.37
"239","Zach Spidle",-0.31,"RF",16,0,-0.07,0,-0.24,-0.07,-0.24,-0.31,0
"240","Zayn Giles",0,"CF",2,0,0,0,0,0,0,0,0
"241","Zayn Giles",0.1,"LF",12,0.26,-0.84,0.68,0,-0.58,0.68,-0.84,0.94
"242","Zayn Giles",0.73,"RF",37,-0.75,0.93,0.61,-0.05,0.18,0.56,0.88,-0.14
