PlayResult,TaggedHitType,ExitSpeed,Angle,xSLG
0,GroundBall,103.52349,-10.271996,0.02922501042485237
0,GroundBall,105.6252,-21.225827,0.17085883021354675
1,LineDrive,101.8587,3.086168,0.9952607750892639
2,LineDrive,109.00673,14.135286,0.5362858176231384
0,Popup,88.53462,62.517934,0.03663536161184311
1,GroundBall,104.10568,-16.192452,0.9881230592727661
2,LineDrive,102.02077,11.788499,1.3018171787261963
0,GroundBall,75.74185,0.486026,0.32621148228645325
0,GroundBall,70.98834,-45.778604,0.01184141170233488
0,GroundBall,88.24034,-18.545494,0.030664654448628426
2,FlyBall,90.59039,27.121213,1.9275816679000854
1,LineDrive,105.36919,10.337784,1.4739737510681152
0,GroundBall,34.52928,-81.404343,0.02169477380812168
0,GroundBall,65.88609,-67.586158,-0.028876157477498055
0,Bunt,31.06573,13.827269,
0,LineDrive,95.45709,8.726899,0.07177600264549255
1,FlyBall,82.07428,32.475139,0.931405782699585
0,GroundBall,96.47033,-11.817462,0.7518004775047302
1,LineDrive,97.27315,11.575616,0.5180119872093201
0,FlyBall,106.96138,36.613339,0.06721116602420807
0,GroundBall,65.32807,-47.596186,-0.023105904459953308
0,FlyBall,90.29768,29.147105,0.03679691255092621
0,GroundBall,98.22906,-13.88929,-0.01453896053135395
0,GroundBall,98.72665,-14.756016,-0.009606137871742249
